Data,Cidade,Cargo,Nota
20/01/2021 06:56:07,Vila Velha,Subsecretaria de Planejamneto e orçamento ,3
08/01/2021 08:29:06,Varzea Paulista ,Assessor de politicas governamentais ,1
09/01/2021 14:20:32,Jundiaí,Assistente de Administração,5
07/01/2021 21:49:13,Jundiaí ,Assessor Municipal ,4
20/01/2021 07:04:35,Joinville,Diretor de Gestão do Conhecimento,5
16/01/2021 20:03:42,Manaus,Pedagoga e Professora,5
28/01/2021 11:14:23,Mogi das Cruzes,Chefe de Divisão,4
25/01/2021 20:55:03,Niterói,Assessora de planejamento,5
26/01/2021 10:53:58,Palmas,Assistente Administrativo,3
07/01/2021 17:19:44,Petrolina,Professora,3
20/01/2021 08:08:28,Maceió,Assessor Especial,3
20/01/2021 09:04:02,Belém,Vice-diretor,1
18/01/2021 14:35:22,Sao Bernardo do Campo,Fiscal Tributário,4
18/01/2021 15:24:37,DIADEMA,Assistente Administrativo,2
19/01/2021 15:51:14,São Paulo,Assistente Administrativo,1
26/01/2021 14:04:15,SÃO MATEUS,Controladora Geral,4
26/01/2021 14:21:39,SÃO MATEUS,Assessor de Controladoria,3
20/01/2021 09:13:21,Serra,Secretária,4
20/01/2021 11:10:17,São Paulo,Diretora de Departamento Técnico,4
20/01/2021 11:14:09,Praia Grande,Pesquisador voluntário na frente de governo digital e economia digital,2
20/01/2021 12:28:09,Salvador,Analista Jurídico,4
15/01/2021 17:36:45,Praia Grande,Assessor da vice-prefeita,3
08/01/2021 08:33:57,Varzea Paulista,Chefe de Comunicação interna,1
20/01/2021 13:12:18,Rio de Janeiro,Coordenadora administrativa,2
20/01/2021 14:47:01,Paulínia/Guarulhos,Educador social e técnico em informática,4
20/01/2021 15:30:46,Marataízes,Subsecretária de Controle Interno e Transparência,5
20/01/2021 15:43:45,Cachoeiro de Itapemirim,Assessora Técnica,5
20/01/2021 16:00:11,Fortaleza,Bibliotecária,3
20/01/2021 16:36:20,Paço do Lumiar,Servidora voluntária,5
20/01/2021 16:55:05,Rio de Janeiro,Analista de gestão em saúde,3
16/01/2021 11:32:02,Terra Roxa,Agente de Serviços Contabeis,3
20/01/2021 18:21:49,Rio de Janeiro,Coordenadora de Programa de Pós-Graduação na Fiocruz,3
20/01/2021 19:37:33,Lagoa Santa,Estagiário,5
20/01/2021 11:46:16,Serra,Estatístico,5
25/01/2021 08:22:44,Algre,Superintendente de Ouvidoria e Participação Social,2
20/01/2021 23:09:22,Rio de Janeiro,Agente de Administração,5
20/01/2021 23:49:13,Araraquara,Executivo Público,3
